Input.Tweet1,Input.Tweet2,Input.Tweet3,Input.Tweet4,Input.Tweet5,Answer.Emotion1,Answer.Emotion2,Answer.Emotion3,Answer.Emotion4,Answer.Emotion5,Answer.Reason1,Answer.Reason2,Answer.Reason3,Answer.Reason4,Answer.Reason5
What up doe im in the NC RT @Anonymous @Anonymous and ima be in north carolina this summer.. we gotta get back on ti,@Anonymous san antonio bay :/ but were gonna be in san antonio on a night and im going with 4 other girls,@Anonymous Had a great time tonight. Did ya see me in JoeDon's pit. I wasnext to the lady inthe yellow shirt(thatwasmymom),GE all! Thanks for all #Hashtag was @Anonymous had a gd day today sat in conservatory til got hot,Today I am going to live my life like Nic Cage. Back to normal tomorrow,Love|Joy,None,Joy,Joy,Joy,we gotta get back on ti,n/a,had a great time tonight,had a gd day today,today im gonna live my life like nic cage
What up doe im in the NC RT @Anonymous @Anonymous and ima be in north carolina this summer.. we gotta get back on ti,@Anonymous san antonio bay :/ but were gonna be in san antonio on a night and im going with 4 other girls,@Anonymous Had a great time tonight. Did ya see me in JoeDon's pit. I wasnext to the lady inthe yellow shirt(thatwasmymom),GE all! Thanks for all #Hashtag was @Anonymous had a gd day today sat in conservatory til got hot,Today I am going to live my life like Nic Cage. Back to normal tomorrow,Sadness,Fear|Anger,Joy,Love|Joy,Sadness,This show little fear.,"This tweet show mixed feelings of fear,anger.",This tweet is from a happy person,this tweet is with love and thanks.,This tweet show little bit of sadness.
What up doe im in the NC RT @Anonymous @Anonymous and ima be in north carolina this summer.. we gotta get back on ti,@Anonymous san antonio bay :/ but were gonna be in san antonio on a night and im going with 4 other girls,@Anonymous Had a great time tonight. Did ya see me in JoeDon's pit. I wasnext to the lady inthe yellow shirt(thatwasmymom),GE all! Thanks for all #Hashtag was @Anonymous had a gd day today sat in conservatory til got hot,Today I am going to live my life like Nic Cage. Back to normal tomorrow,Joy,None,Joy,,Joy,"Saying hi and going to be in area, excited to get together.",neutral statement of plans for the night,Had a great time tonight.,had a gd day today,"Saying he is going to live a crazy, exciting day."
What up doe im in the NC RT @Anonymous @Anonymous and ima be in north carolina this summer.. we gotta get back on ti,@Anonymous san antonio bay :/ but were gonna be in san antonio on a night and im going with 4 other girls,@Anonymous Had a great time tonight. Did ya see me in JoeDon's pit. I wasnext to the lady inthe yellow shirt(thatwasmymom),GE all! Thanks for all #Hashtag was @Anonymous had a gd day today sat in conservatory til got hot,Today I am going to live my life like Nic Cage. Back to normal tomorrow,Joy,Sadness|Joy,Joy,Joy,Joy,"Talking with a friend, on vacation perhaps","Not happy with current situation, but anticipating better","""great time""","good ""day""","I think, or maybe anger, depends on context"
What up doe im in the NC RT @Anonymous @Anonymous and ima be in north carolina this summer.. we gotta get back on ti,@Anonymous san antonio bay :/ but were gonna be in san antonio on a night and im going with 4 other girls,@Anonymous Had a great time tonight. Did ya see me in JoeDon's pit. I wasnext to the lady inthe yellow shirt(thatwasmymom),GE all! Thanks for all #Hashtag was @Anonymous had a gd day today sat in conservatory til got hot,Today I am going to live my life like Nic Cage. Back to normal tomorrow,Joy,Sadness,Joy,Love|Joy,None,expressing joy at possibly meeting up with someone in the future.,the sad face,expressed having a great time.,had a great day and is thankful,The person does not express an emotion.
@Anonymous Very nice indeed! I bet Bert could find you one of those for under a tenner in the charity shop at the end of the high street.,if i hear you were at the Playboy Club i will think you're a sad twat. its 2011.,@Anonymous @Anonymous LOL I have to say it is freaking awesome...but your site looks great!,@Anonymous nawwh wednesday is for the papers! 10th is report card! Ofcourse I am! LOL :P,@Anonymous @Anonymous Did anyone else get nervous when it was 17-3 early? Not a score I remember fondly.,Surprise|Joy,Surprise,Love|Surprise|Joy,Sadness|None,Surprise,explains something with joy as nice,says surprisingly that it is now 2011,praises his site with joy,says with sad he was very busy,ask others surprisingly about some scores
@Anonymous Very nice indeed! I bet Bert could find you one of those for under a tenner in the charity shop at the end of the high street.,if i hear you were at the Playboy Club i will think you're a sad twat. its 2011.,@Anonymous @Anonymous LOL I have to say it is freaking awesome...but your site looks great!,@Anonymous nawwh wednesday is for the papers! 10th is report card! Ofcourse I am! LOL :P,@Anonymous @Anonymous Did anyone else get nervous when it was 17-3 early? Not a score I remember fondly.,Love,Anger|Sadness,Love|Surprise,Sadness|Surprise,Surprise,This tweet is with appreciation.,This tweet is with anger and sadness,This tweet is with love and surprise.,This tweet show sadness and surprise about report,This tweet show surprise.
@Anonymous Very nice indeed! I bet Bert could find you one of those for under a tenner in the charity shop at the end of the high street.,if i hear you were at the Playboy Club i will think you're a sad twat. its 2011.,@Anonymous @Anonymous LOL I have to say it is freaking awesome...but your site looks great!,@Anonymous nawwh wednesday is for the papers! 10th is report card! Ofcourse I am! LOL :P,@Anonymous @Anonymous Did anyone else get nervous when it was 17-3 early? Not a score I remember fondly.,Surprise|Joy,Anger,Love|Joy,None,Sadness,they sound surprised and happy about something shown to them,showing minor anger and using profanity,showing love to somebody and their site,no real emotion shown,reminiscing about a sad moment in the past
@Anonymous Very nice indeed! I bet Bert could find you one of those for under a tenner in the charity shop at the end of the high street.,if i hear you were at the Playboy Club i will think you're a sad twat. its 2011.,@Anonymous @Anonymous LOL I have to say it is freaking awesome...but your site looks great!,@Anonymous nawwh wednesday is for the papers! 10th is report card! Ofcourse I am! LOL :P,@Anonymous @Anonymous Did anyone else get nervous when it was 17-3 early? Not a score I remember fondly.,Joy,Anger|Surprise,Joy,Joy,Sadness,"""Very nice""",Seems concerned about a friends behavior,"""awesome"" ""looks great!""","""LOL"" and a smiley","Bad memories, about sports"
@Anonymous Very nice indeed! I bet Bert could find you one of those for under a tenner in the charity shop at the end of the high street.,if i hear you were at the Playboy Club i will think you're a sad twat. its 2011.,@Anonymous @Anonymous LOL I have to say it is freaking awesome...but your site looks great!,@Anonymous nawwh wednesday is for the papers! 10th is report card! Ofcourse I am! LOL :P,@Anonymous @Anonymous Did anyone else get nervous when it was 17-3 early? Not a score I remember fondly.,Joy,Sadness,Joy,Joy,Surprise,this writer seems to be happy,this person seems disappointed,this writer seems to be very happy,this writer seems to be amused,this person was surprised by the outcome of a sports game.
Your long national nightmare is over: I just picked up a new US work visa.,*watches @Anonymous's face as a faint blush covers the apples of her cheeks. I lean down,@Anonymous s'alright! wish i was there! seeing as i was on the train about 10 minutes away anyway! missing youuuu :( x,Uhm majorrr! RT @Anonymous Just finished a long&detailed interview for MTV The wrap Up Hopefully You all Check it out when it's published,@Anonymous RT if you think we deserve a high 5 for trying to make #Hashtag number 1 on iTunes :D 43,Joy,Love,Love|Sadness,None,Joy,he's happy to get his visa,he's showing love to a girl,"sadness at missing someone, love toward the person too",no emotion fits this,he sounds joyous
Your long national nightmare is over: I just picked up a new US work visa.,*watches @Anonymous's face as a faint blush covers the apples of her cheeks. I lean down,@Anonymous s'alright! wish i was there! seeing as i was on the train about 10 minutes away anyway! missing youuuu :( x,Uhm majorrr! RT @Anonymous Just finished a long&detailed interview for MTV The wrap Up Hopefully You all Check it out when it's published,@Anonymous RT if you think we deserve a high 5 for trying to make #Hashtag number 1 on iTunes :D 43,Joy,Love,Love,Joy,Love|Joy,This is from a happy person.,This is from a caring person,This is from a affectionate person.,This tweet is from a satisfied person.,This is from a happy and loving person.
Your long national nightmare is over: I just picked up a new US work visa.,*watches @Anonymous's face as a faint blush covers the apples of her cheeks. I lean down,@Anonymous s'alright! wish i was there! seeing as i was on the train about 10 minutes away anyway! missing youuuu :( x,Uhm majorrr! RT @Anonymous Just finished a long&detailed interview for MTV The wrap Up Hopefully You all Check it out when it's published,@Anonymous RT if you think we deserve a high 5 for trying to make #Hashtag number 1 on iTunes :D 43,Joy,Love|Joy,Sadness|Joy,Joy,Joy,"""new US work visa""",Talking of lead in to a sweet kiss,"""wish i was there!""",A fan anticipating news.,"""high 5"" ""iTunes"""
Your long national nightmare is over: I just picked up a new US work visa.,*watches @Anonymous's face as a faint blush covers the apples of her cheeks. I lean down,@Anonymous s'alright! wish i was there! seeing as i was on the train about 10 minutes away anyway! missing youuuu :( x,Uhm majorrr! RT @Anonymous Just finished a long&detailed interview for MTV The wrap Up Hopefully You all Check it out when it's published,@Anonymous RT if you think we deserve a high 5 for trying to make #Hashtag number 1 on iTunes :D 43,None,None,Sadness,None,Joy,There is no emotion expressed.,There is no emotion expressed.,sad face and missing someone.,There is no emotion expressed.,smiley face.
Your long national nightmare is over: I just picked up a new US work visa.,*watches @Anonymous's face as a faint blush covers the apples of her cheeks. I lean down,@Anonymous s'alright! wish i was there! seeing as i was on the train about 10 minutes away anyway! missing youuuu :( x,Uhm majorrr! RT @Anonymous Just finished a long&detailed interview for MTV The wrap Up Hopefully You all Check it out when it's published,@Anonymous RT if you think we deserve a high 5 for trying to make #Hashtag number 1 on iTunes :D 43,None,Surprise|Joy,Love|Sadness,Surprise|Joy,Love|Surprise|Joy,intimating the completion,surprise to see her face,miss her in journey,happy to finish the interview and waiting for results,deserve to get high 5
@Anonymous they are the same usernames/logins for both but not actually linked in any way.,Filming and have some room for Twitter Shout Outs so if you want a shout out - tweet me something fun! :-) I'll say hi on video!,Just got cross with administrators. Is the letter that went to other creditors too difficult to send to staff too? Had to ask 3 times now.,So has anyone done anything classy with scheduled tweets? I know that's unlikely,@Anonymous (in my last tweet) was jus taking the piss coz ryder is crap i can only hope that christian will drop the belt 2 move brands,None,Joy,Anger,None,Anger,Anonymous is giving facts and thus not giving any emotions in this tweet.,"The use of smileys, exciting words, and exclamation points shows joy.","He/she mentions feeling cross, which is another word for angry.",He/she is asking a question and thus is not showing emotion.,The use of negative language in this tweet suggest anger.
@Anonymous they are the same usernames/logins for both but not actually linked in any way.,Filming and have some room for Twitter Shout Outs so if you want a shout out - tweet me something fun! :-) I'll say hi on video!,Just got cross with administrators. Is the letter that went to other creditors too difficult to send to staff too? Had to ask 3 times now.,So has anyone done anything classy with scheduled tweets? I know that's unlikely,@Anonymous (in my last tweet) was jus taking the piss coz ryder is crap i can only hope that christian will drop the belt 2 move brands,None,Joy,Anger,Anger,Anger,Tech talk,"""fun! :-)""","Upset with administrators ""cross""","""has anyone"" ""unlikely""","""ryder is crap"""
@Anonymous they are the same usernames/logins for both but not actually linked in any way.,Filming and have some room for Twitter Shout Outs so if you want a shout out - tweet me something fun! :-) I'll say hi on video!,Just got cross with administrators. Is the letter that went to other creditors too difficult to send to staff too? Had to ask 3 times now.,So has anyone done anything classy with scheduled tweets? I know that's unlikely,@Anonymous (in my last tweet) was jus taking the piss coz ryder is crap i can only hope that christian will drop the belt 2 move brands,None,Love|Joy,Anger,None,Anger,It is just a statement.,There are exclamation points and the person seems happy and excited.,They said they got cross with someone and had to ask for something 3 times.,They don't seem upset just a little annoyed.,They use the word crap and they seem annoyed too.
@Anonymous they are the same usernames/logins for both but not actually linked in any way.,Filming and have some room for Twitter Shout Outs so if you want a shout out - tweet me something fun! :-) I'll say hi on video!,Just got cross with administrators. Is the letter that went to other creditors too difficult to send to staff too? Had to ask 3 times now.,So has anyone done anything classy with scheduled tweets? I know that's unlikely,@Anonymous (in my last tweet) was jus taking the piss coz ryder is crap i can only hope that christian will drop the belt 2 move brands,None,Joy,Anger,Anger,Anger,this is just a comment,this writer seems like they are enjoying themselves,this person seems frustrated,this writer seems somewhat upset,this writer seems to be frustrated with something
@Anonymous they are the same usernames/logins for both but not actually linked in any way.,Filming and have some room for Twitter Shout Outs so if you want a shout out - tweet me something fun! :-) I'll say hi on video!,Just got cross with administrators. Is the letter that went to other creditors too difficult to send to staff too? Had to ask 3 times now.,So has anyone done anything classy with scheduled tweets? I know that's unlikely,@Anonymous (in my last tweet) was jus taking the piss coz ryder is crap i can only hope that christian will drop the belt 2 move brands,Sadness,Joy,Sadness,None,Sadness,,,,,
@Anonymous they are the same usernames/logins for both but not actually linked in any way.,Filming and have some room for Twitter Shout Outs so if you want a shout out - tweet me something fun! :-) I'll say hi on video!,Just got cross with administrators. Is the letter that went to other creditors too difficult to send to staff too? Had to ask 3 times now.,So has anyone done anything classy with scheduled tweets? I know that's unlikely,@Anonymous (in my last tweet) was jus taking the piss coz ryder is crap i can only hope that christian will drop the belt 2 move brands,None,Joy,Anger,Sadness,Anger|Sadness,This is informative.,This tweet is from fun loving man.,This twee is with angry feelings.,This tweet shows sadness.,This tweet show mixed feelings of sad and anger.
@Anonymous hopefully...I'm good enough (not bragging) just need to get that one shot!,I need an email client that lets me send email without seeing new incoming email and distracting me from what I should be doing.,"Judge rips both #Hashtag legal teams: ""It appears to me you four can't even agree today is Wednesday.""",@Anonymous Yeah. A lot of writers in the national sports media are not happy about the situation.,@Anonymous ...Oh Mistress Can I Please have the love of your sexy foot in my mouth.Please Mistress.=),Surprise,None,Anger,Sadness,Love,the person surprised to get that one shot,"There is no such emotions seen, it is just an expectation",The person angrily asked them,The situation is not happy,It's a kind of love
@Anonymous hopefully...I'm good enough (not bragging) just need to get that one shot!,I need an email client that lets me send email without seeing new incoming email and distracting me from what I should be doing.,"Judge rips both #Hashtag legal teams: ""It appears to me you four can't even agree today is Wednesday.""",@Anonymous Yeah. A lot of writers in the national sports media are not happy about the situation.,@Anonymous ...Oh Mistress Can I Please have the love of your sexy foot in my mouth.Please Mistress.=),Joy,Anger,None,None,Joy,one shot!,Annoyed to do something,Neutral statement,Neutral statement,Err:508
@Anonymous hopefully...I'm good enough (not bragging) just need to get that one shot!,I need an email client that lets me send email without seeing new incoming email and distracting me from what I should be doing.,"Judge rips both #Hashtag legal teams: ""It appears to me you four can't even agree today is Wednesday.""",@Anonymous Yeah. A lot of writers in the national sports media are not happy about the situation.,@Anonymous ...Oh Mistress Can I Please have the love of your sexy foot in my mouth.Please Mistress.=),Love|Sadness,Anger|Sadness,Anger|Sadness,Anger|Sadness,Love|Joy,he finds to be fine but with some thing still needed,he just needs to get rid of email problem,"it says something sad as "" cant even agree""",it says many writers are not happy,it lovingly needs something from mistress
@Anonymous hopefully...I'm good enough (not bragging) just need to get that one shot!,I need an email client that lets me send email without seeing new incoming email and distracting me from what I should be doing.,"Judge rips both #Hashtag legal teams: ""It appears to me you four can't even agree today is Wednesday.""",@Anonymous Yeah. A lot of writers in the national sports media are not happy about the situation.,@Anonymous ...Oh Mistress Can I Please have the love of your sexy foot in my mouth.Please Mistress.=),Joy,Sadness,Anger|Joy,Sadness,Joy,Expresses anticipation and confidence,"Is busy, has trouble staying focused, wants a better email program","News update, tone suggests anger over subject, agreement with judge.","""Yeah"" ""not happy""","I think it is playful banter, talk of foreplay, but perhaps this is sarcasm, in which case anger would be more accurate."
@Anonymous hopefully...I'm good enough (not bragging) just need to get that one shot!,I need an email client that lets me send email without seeing new incoming email and distracting me from what I should be doing.,"Judge rips both #Hashtag legal teams: ""It appears to me you four can't even agree today is Wednesday.""",@Anonymous Yeah. A lot of writers in the national sports media are not happy about the situation.,@Anonymous ...Oh Mistress Can I Please have the love of your sexy foot in my mouth.Please Mistress.=),Surprise,Anger,Anger,Sadness,Love,This one shows surprise in the word one shot!,This one show anger in the word distracting,This tweet shows anger in the word rips,This show sadness in the word not happy,This tweet shows romantic feelings.
@Anonymous Claude made his first TV appearance in HP and the Prisoner of Azkaban!! He wanted Ron to tap dance! Lol,@Anonymous Your Wordpress VIP is having some issues. I'm trying to be lame & do market research on the weekend about the rise of local blogging.,@Anonymous << you have about the texts refers to the allowance you get for topping up. You get 300 texts for a ?10 > ^Steve,@Anonymous @Anonymous Don't even get me started on the OWGR. But I agree it should still be on the list.,@Anonymous LOL omg you lucky bastard. Tell me how it is and what your fave clan is.,Joy,Anger,Joy,Sadness,Surprise,"first TV appearance moment of happiness (JOY)
Tap Dance is also expression of excitement and happiness (JOY)","some issues showing bit of annoyances, lame  (ANGER)",something routine works is going on but got allowances is a moment of (JOY),"not included in the list on OWGR, still in hope?? (SADNESS)",Lucky bastard (SURPRISE)
@Anonymous Claude made his first TV appearance in HP and the Prisoner of Azkaban!! He wanted Ron to tap dance! Lol,@Anonymous Your Wordpress VIP is having some issues. I'm trying to be lame & do market research on the weekend about the rise of local blogging.,@Anonymous << you have about the texts refers to the allowance you get for topping up. You get 300 texts for a ?10 > ^Steve,@Anonymous @Anonymous Don't even get me started on the OWGR. But I agree it should still be on the list.,@Anonymous LOL omg you lucky bastard. Tell me how it is and what your fave clan is.,Joy,Joy,None,Anger,Surprise|Joy,"""Lol""","Enjoying life, talk of tech and blogging, expresses joy at dullness, makes light of self.","I just don't know what all that means, and no clear sentiment indication.","""Don't even get me started""","""LOL omg"""
@Anonymous Claude made his first TV appearance in HP and the Prisoner of Azkaban!! He wanted Ron to tap dance! Lol,@Anonymous Your Wordpress VIP is having some issues. I'm trying to be lame & do market research on the weekend about the rise of local blogging.,@Anonymous << you have about the texts refers to the allowance you get for topping up. You get 300 texts for a ?10 > ^Steve,@Anonymous @Anonymous Don't even get me started on the OWGR. But I agree it should still be on the list.,@Anonymous LOL omg you lucky bastard. Tell me how it is and what your fave clan is.,Surprise|Joy,Sadness,Surprise,Anger,Surprise,Exclamation marks,blog not working,seems surprised about the number of texts,don't get me started.,"""lol omg you lucky bastard"""
@Anonymous Claude made his first TV appearance in HP and the Prisoner of Azkaban!! He wanted Ron to tap dance! Lol,@Anonymous Your Wordpress VIP is having some issues. I'm trying to be lame & do market research on the weekend about the rise of local blogging.,@Anonymous << you have about the texts refers to the allowance you get for topping up. You get 300 texts for a ?10 > ^Steve,@Anonymous @Anonymous Don't even get me started on the OWGR. But I agree it should still be on the list.,@Anonymous LOL omg you lucky bastard. Tell me how it is and what your fave clan is.,Joy,Anger,None,Anger,None,this person is amused,this person seems slightly upset,this is just a question,this person seems slightly upset,this person seems happy
@Anonymous Claude made his first TV appearance in HP and the Prisoner of Azkaban!! He wanted Ron to tap dance! Lol,@Anonymous Your Wordpress VIP is having some issues. I'm trying to be lame & do market research on the weekend about the rise of local blogging.,@Anonymous << you have about the texts refers to the allowance you get for topping up. You get 300 texts for a ?10 > ^Steve,@Anonymous @Anonymous Don't even get me started on the OWGR. But I agree it should still be on the list.,@Anonymous LOL omg you lucky bastard. Tell me how it is and what your fave clan is.,Love,Fear,Love,Anger,Love,This twee shows love feelings.,This tweet show some fear,This tweet is from a caring person,This tweet show some anger,This tweet is from a loving person.
@Anonymous if you would I would greatly appreciate it! No huge hurry. Doesn't cause problems just reminds me of old school tv.,@Anonymous THIS IS AN INVASION! I'm from PORTUGAL and we are waiting for you for years! But....PLEASE,@Anonymous - Right? I ADORE that man...but that dates back to my obsession with every actor associated with Band of Brothers ;),+ eyes on the road. My tactics seemed to be workin' since @Anonymous was drummin' his fingers on his knee.,@Anonymous any word on tim erixon? why isn't feaster on a plane to sweden to get the deal done. show him he wants him to be a Flame,None,Joy,Love|Joy,None,None,There is no emotion expressed.,they are happy to finaly have something after waiting.,"adore an actor, and smiley face.",There is no emotion expressed.,There is no emotion expressed.
@Anonymous if you would I would greatly appreciate it! No huge hurry. Doesn't cause problems just reminds me of old school tv.,@Anonymous THIS IS AN INVASION! I'm from PORTUGAL and we are waiting for you for years! But....PLEASE,@Anonymous - Right? I ADORE that man...but that dates back to my obsession with every actor associated with Band of Brothers ;),+ eyes on the road. My tactics seemed to be workin' since @Anonymous was drummin' his fingers on his knee.,@Anonymous any word on tim erixon? why isn't feaster on a plane to sweden to get the deal done. show him he wants him to be a Flame,Joy,None,Love,None,None,happy that somebody is doing them a favour,none fit,showing love for a favourite actor,no emotion shown,none shown
@Anonymous if you would I would greatly appreciate it! No huge hurry. Doesn't cause problems just reminds me of old school tv.,@Anonymous THIS IS AN INVASION! I'm from PORTUGAL and we are waiting for you for years! But....PLEASE,@Anonymous - Right? I ADORE that man...but that dates back to my obsession with every actor associated with Band of Brothers ;),+ eyes on the road. My tactics seemed to be workin' since @Anonymous was drummin' his fingers on his knee.,@Anonymous any word on tim erixon? why isn't feaster on a plane to sweden to get the deal done. show him he wants him to be a Flame,Love,Surprise,Love,Joy,Surprise,This tweet is from  a caring person.,this tweet show some surprise.,this tweet is from a adoring person.,This tweet is describing an incident,This tweet show surprise.
@Anonymous if you would I would greatly appreciate it! No huge hurry. Doesn't cause problems just reminds me of old school tv.,@Anonymous THIS IS AN INVASION! I'm from PORTUGAL and we are waiting for you for years! But....PLEASE,@Anonymous - Right? I ADORE that man...but that dates back to my obsession with every actor associated with Band of Brothers ;),+ eyes on the road. My tactics seemed to be workin' since @Anonymous was drummin' his fingers on his knee.,@Anonymous any word on tim erixon? why isn't feaster on a plane to sweden to get the deal done. show him he wants him to be a Flame,Sadness|Joy,Anger|Sadness,Joy,Anger|Sadness|Joy,Anger|Sadness,Is getting help with an inconvenience (technical I think),"""THIS IS AN INVASION!"" ""we are waiting"" ""PLEASE""",Talks of really liking an actor and a show of some sort,"describes a stage in a personal conflict, and says something they are doing is working","Asks for news, expresses frustration ""Why isn't"""
